연번,노선번호,노선ID,정류소번호,정류소ID,정류소명,위도,경도
1,B0,SJB293000302,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
2,B0,SJB293000302,51048,SJB293053011,한솔동,36.48034,127.26243
3,B0,SJB293000302,51007,SJB293053005,새롬동.나성동,36.48685,127.25785
4,B0,SJB293000302,51015,SJB293054003,다정동,36.4939251,127.2563976
5,B0,SJB293000302,52029,SJB293062006,정부세종청사남측,36.5008869,127.2596196
6,B0,SJB293000302,52033,SJB293062011,정부세종청사북측,36.504176,127.2611617
7,B0,SJB293000302,52008,SJB293056003,도담동,36.5140662,127.259188
8,B0,SJB293000302,52064,SJB293064445,세종충남대학교병원,36.520517,127.259481
9,B0,SJB293000302,31056,SJB293014014,해밀리,36.528653,127.2638902
10,B0,SJB293000302,31054,SJB293014025,한별리,36.53377,127.27527
11,B0,SJB293000302,31073,SJB293064420,누리리,36.533978,127.29214
12,B0,SJB293000302,64012,SJB293064493,다솜리,36.5319645,127.3198216
13,B0,SJB293000302,57027,SJB293064416,산학연클러스터,36.501718,127.328826
14,B0,SJB293000302,57029,SJB293064418,집현리,36.498135,127.322785
15,B0,SJB293000302,57023,SJB293064257,반곡동(수루배마을),36.497739,127.312279
16,B0,SJB293000302,57025,SJB293064261,국책연구단지,36.492195,127.304331
17,B0,SJB293000302,57020,SJB293064254,"법원.검찰청,경찰청",36.486842,127.301429
18,B0,SJB293000302,51115,SJB293064214,소담동 새샘마을,36.4824576,127.2972683
19,B0,SJB293000302,51112,SJB293064211,세종시청.교육청.시의회,36.478674,127.288769
20,B0,SJB293000302,51110,SJB293064209,보람동.대평동,36.4756055,127.2816359
21,B0,SJB293000302,57017,SJB293064251,대평동,36.472267,127.276406
22,B0,SJB293000302,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
1,B0,SJB293000303,51122,SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189
2,B0,SJB293000303,57018,SJB293064252,대평동,36.472148,127.276445
3,B0,SJB293000303,51107,SJB293064206,보람동.대평동,36.4749413,127.2807336
4,B0,SJB293000303,51111,SJB293064210,세종시청.교육청.시의회,36.478356,127.288188
5,B0,SJB293000303,51117,SJB293064216,소담동 새샘마을,36.4826387,127.2977367
6,B0,SJB293000303,57019,SJB293064253,"법원.검찰청,경찰청",36.487095,127.301744
7,B0,SJB293000303,57021,SJB293064255,국책연구단지,36.4913263,127.304
8,B0,SJB293000303,57024,SJB293064258,반곡동(수루배마을),36.497535,127.310959
9,B0,SJB293000303,57030,SJB293064419,집현리,36.497917,127.321985
10,B0,SJB293000303,57028,SJB293064417,산학연클러스터,36.500789,127.328331
11,B0,SJB293000303,64011,SJB293064492,다솜리,36.5317939,127.3202744
12,B0,SJB293000303,31057,SJB293014058,누리리,36.5341,127.292158
13,B0,SJB293000303,31053,SJB293014026,한별리,36.5341,127.27661
14,B0,SJB293000303,31055,SJB293014017,해밀리,36.52963,127.26478
15,B0,SJB293000303,52065,SJB293064446,세종충남대학교병원,36.521617,127.259736
16,B0,SJB293000303,52009,SJB293056002,도담동,36.51483,127.25896
17,B0,SJB293000303,52036,SJB293062014,정부세종청사북측,36.5050692,127.2615051
18,B0,SJB293000303,52030,SJB293062007,정부세종청사남측,36.50173,127.25991
19,B0,SJB293000303,52018,SJB293062004,다정동,36.49491,127.25649
20,B0,SJB293000303,51009,SJB293053004,새롬동.나성동,36.48771,127.25729
21,B0,SJB293000303,51049,SJB293053009,한솔동,36.4810822,127.2617829
22,B0,SJB293000303,51122,SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189
1,B0,SJB293000304,51012,SJB293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033
2,B0,SJB293000304,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
3,B0,SJB293000304,51048,SJB293053011,한솔동,36.48034,127.26243
4,B0,SJB293000304,51007,SJB293053005,새롬동.나성동,36.48685,127.25785
5,B0,SJB293000304,51015,SJB293054003,다정동,36.4939251,127.2563976
6,B0,SJB293000304,52029,SJB293062006,정부세종청사남측,36.5008869,127.2596196
7,B0,SJB293000304,52033,SJB293062011,정부세종청사북측,36.504176,127.2611617
8,B0,SJB293000304,52008,SJB293056003,도담동,36.5140662,127.259188
9,B0,SJB293000304,52064,SJB293064445,세종충남대학교병원,36.520517,127.259481
10,B0,SJB293000304,31056,SJB293014014,해밀리,36.528653,127.2638902
11,B0,SJB293000304,31054,SJB293014025,한별리,36.53377,127.27527
12,B0,SJB293000304,31073,SJB293064420,누리리,36.533978,127.29214
13,B0,SJB293000304,64012,SJB293064493,다솜리,36.5319645,127.3198216
14,B0,SJB293000304,57027,SJB293064416,산학연클러스터,36.501718,127.328826
15,B0,SJB293000304,57029,SJB293064418,집현리,36.498135,127.322785
16,B0,SJB293000304,57023,SJB293064257,반곡동(수루배마을),36.497739,127.312279
17,B0,SJB293000304,57025,SJB293064261,국책연구단지,36.492195,127.304331
18,B0,SJB293000304,57020,SJB293064254,"법원.검찰청,경찰청",36.486842,127.301429
19,B0,SJB293000304,51115,SJB293064214,소담동 새샘마을,36.4824576,127.2972683
20,B0,SJB293000304,51112,SJB293064211,세종시청.교육청.시의회,36.478674,127.288769
21,B0,SJB293000304,51110,SJB293064209,보람동.대평동,36.4756055,127.2816359
22,B0,SJB293000304,57017,SJB293064251,대평동,36.472267,127.276406
23,B0,SJB293000304,51011,SJB293055001,세종고속시외버스터미널(지상),36.469265,127.2738136
1,B0,SJB293000305,51012,SJB293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033
2,B0,SJB293000305,57018,SJB293064252,대평동,36.472148,127.276445
3,B0,SJB293000305,51107,SJB293064206,보람동.대평동,36.4749413,127.2807336
4,B0,SJB293000305,51111,SJB293064210,세종시청.교육청.시의회,36.478356,127.288188
5,B0,SJB293000305,51117,SJB293064216,소담동 새샘마을,36.4826387,127.2977367
6,B0,SJB293000305,57019,SJB293064253,"법원.검찰청,경찰청",36.487095,127.301744
7,B0,SJB293000305,57021,SJB293064255,국책연구단지,36.4913263,127.304
8,B0,SJB293000305,57024,SJB293064258,반곡동(수루배마을),36.497535,127.310959
9,B0,SJB293000305,57030,SJB293064419,집현리,36.497917,127.321985
10,B0,SJB293000305,57028,SJB293064417,산학연클러스터,36.500789,127.328331
11,B0,SJB293000305,64011,SJB293064492,다솜리,36.5317939,127.3202744
12,B0,SJB293000305,31057,SJB293014058,누리리,36.5341,127.292158
13,B0,SJB293000305,31053,SJB293014026,한별리,36.5341,127.27661
14,B0,SJB293000305,31055,SJB293014017,해밀리,36.52963,127.26478
15,B0,SJB293000305,52065,SJB293064446,세종충남대학교병원,36.521617,127.259736
16,B0,SJB293000305,52009,SJB293056002,도담동,36.51483,127.25896
17,B0,SJB293000305,52036,SJB293062014,정부세종청사북측,36.5050692,127.2615051
18,B0,SJB293000305,52030,SJB293062007,정부세종청사남측,36.50173,127.25991
19,B0,SJB293000305,52018,SJB293062004,다정동,36.49491,127.25649
20,B0,SJB293000305,51009,SJB293053004,새롬동.나성동,36.48771,127.25729
21,B0,SJB293000305,51049,SJB293053009,한솔동,36.4810822,127.2617829
22,B0,SJB293000305,51122,SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189
23,B0,SJB293000305,51011,SJB293055001,세종고속시외버스터미널(지상),36.469265,127.2738136
1,B2,SJB293000077,60005,SJB186004230,반석역,36.39142,127.31514
2,B2,SJB293000077,51012,SJB293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033
3,B2,SJB293000077,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
4,B2,SJB293000077,51048,SJB293053011,한솔동,36.48034,127.26243
5,B2,SJB293000077,51007,SJB293053005,새롬동.나성동,36.48685,127.25785
6,B2,SJB293000077,51015,SJB293054003,다정동,36.4939251,127.2563976
7,B2,SJB293000077,52029,SJB293062006,정부세종청사남측,36.5008869,127.2596196
8,B2,SJB293000077,52033,SJB293062011,정부세종청사북측,36.504176,127.2611617
9,B2,SJB293000077,52008,SJB293056003,도담동,36.5140662,127.259188
10,B2,SJB293000077,52064,SJB293064445,세종충남대학교병원,36.520517,127.259481
11,B2,SJB293000077,31056,SJB293014014,해밀리,36.528653,127.2638902
12,B2,SJB293000077,31054,SJB293014025,한별리,36.53377,127.27527
13,B2,SJB293000077,31073,SJB293064420,누리리,36.533978,127.29214
14,B2,SJB293000077,13012,SJB274002060,오송역,36.61931,127.3286
1,B2,SJB293000099,13012,SJB274002060,오송역,36.61931,127.3286
2,B2,SJB293000099,31057,SJB293014058,누리리,36.5341,127.292158
3,B2,SJB293000099,31053,SJB293014026,한별리,36.5341,127.27661
4,B2,SJB293000099,31055,SJB293014017,해밀리,36.52963,127.26478
5,B2,SJB293000099,52065,SJB293064446,세종충남대학교병원,36.521617,127.259736
6,B2,SJB293000099,52009,SJB293056002,도담동,36.51483,127.25896
7,B2,SJB293000099,52036,SJB293062014,정부세종청사북측,36.5050692,127.2615051
8,B2,SJB293000099,52030,SJB293062007,정부세종청사남측,36.50173,127.25991
9,B2,SJB293000099,52018,SJB293062004,다정동,36.49491,127.25649
10,B2,SJB293000099,51009,SJB293053004,새롬동.나성동,36.48771,127.25729
11,B2,SJB293000099,51049,SJB293053009,한솔동,36.4810822,127.2617829
12,B2,SJB293000099,51122,SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189
13,B2,SJB293000099,51011,SJB293055001,세종고속시외버스터미널(지상),36.469265,127.2738136
14,B2,SJB293000099,60006,SJB186004229,반석역,36.39155,127.31487
1,B5,SJB293000311,51012,SJB293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033
2,B5,SJB293000311,57018,SJB293064252,대평동,36.472148,127.276445
3,B5,SJB293000311,51107,SJB293064206,보람동.대평동,36.4749413,127.2807336
4,B5,SJB293000311,51111,SJB293064210,세종시청.교육청.시의회,36.478356,127.288188
5,B5,SJB293000311,51117,SJB293064216,소담동 새샘마을,36.4826387,127.2977367
6,B5,SJB293000311,57019,SJB293064253,"법원.검찰청,경찰청",36.487095,127.301744
7,B5,SJB293000311,57021,SJB293064255,국책연구단지,36.4913263,127.304
8,B5,SJB293000311,57024,SJB293064258,반곡동(수루배마을),36.497535,127.310959
9,B5,SJB293000311,57030,SJB293064419,집현리,36.497917,127.321985
10,B5,SJB293000311,57028,SJB293064417,산학연클러스터,36.500789,127.328331
11,B5,SJB293000311,31057,SJB293014058,누리리,36.5341,127.292158
12,B5,SJB293000311,31053,SJB293014026,한별리,36.5341,127.27661
13,B5,SJB293000311,31051,SJB293014016,해밀리,36.5296733,127.2646746
14,B5,SJB293000311,52067,SJB293064448,세종충남대학교병원(후문),36.521691,127.259634
15,B5,SJB293000311,51071,SJB293064051,세종충남대병원,36.5186505,127.2570215
16,B5,SJB293000311,53014,SJB293064102,범지기마을10단지북측,36.5190968,127.2483697
17,B5,SJB293000311,53012,SJB293064100,"범지기마을3,9단지",36.5190031,127.2445558
18,B5,SJB293000311,53056,SJB293064471,아름제2중(가락마을20단지),36.5165801,127.2413696
19,B5,SJB293000311,53047,SJB293064203,"고운뜰공원,대법원등기정보센터",36.5114233,127.2412918
20,B5,SJB293000311,53058,SJB293064472,가락마을8단지.가재마을4단지,36.5076818,127.2411758
21,B5,SJB293000311,53060,SJB293064473,"종촌초등학교(가락마을6, 7단지)",36.5034395,127.2408773
22,B5,SJB293000311,51099,SJB293064145,다빛초등학교(가온마을3단지),36.4995152,127.2425474
23,B5,SJB293000311,52041,SJB293063001,가재마을5단지.가온마을6단지,36.49915,127.24736
24,B5,SJB293000311,52019,SJB293062002,어진중학교(가재마을9단지),36.4986553,127.2550362
25,B5,SJB293000311,51017,SJB293054001,다정동(대성고등학교),36.4938571,127.2561857
26,B5,SJB293000311,51010,SJB293053003,새롬동.나성동,36.4877395,127.2571293
27,B5,SJB293000311,51036,SJB293053008,한솔동(첫마을),36.4811358,127.2615539
28,B5,SJB293000311,51122,SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189
29,B5,SJB293000311,51011,SJB293055001,세종고속시외버스터미널(지상),36.469265,127.2738136
1,B5,SJB293000312,51012,SJB293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033
2,B5,SJB293000312,51121,SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717
3,B5,SJB293000312,51037,SJB293053010,한솔동(첫마을),36.4812897,127.2618716
4,B5,SJB293000312,51008,SJB293053006,새롬동.나성동,36.4868848,127.2579693
5,B5,SJB293000312,51016,SJB293053001,다정동(대성고등학교),36.4938489,127.2565765
6,B5,SJB293000312,52017,SJB293062003,어진중학교(가재마을9단지),36.4989327,127.2549113
7,B5,SJB293000312,52042,SJB293063002,가재마을5단지.가온마을6단지,36.4994482,127.2466099
8,B5,SJB293000312,53039,SJB293064144,다빛초등학교(가재마을1단지),36.4997313,127.2424127
9,B5,SJB293000312,53061,SJB293064474,종촌초등학교(가재마을3단지),36.5038057,127.2413842
10,B5,SJB293000312,53059,SJB293064475,가락마을8단지.가재마을4단지,36.5076286,127.2416171
11,B5,SJB293000312,53048,SJB293064204,"고운뜰공원,대법원등기정보센터",36.511388,127.241627
12,B5,SJB293000312,53057,SJB293064476,아름제2중(가락마을20단지),36.5166984,127.2418662
13,B5,SJB293000312,53011,SJB293064099,"범지기마을3,9단지",36.518782,127.2444672
14,B5,SJB293000312,53013,SJB293064101,범지기마을10단지북측,36.5189898,127.2489006
15,B5,SJB293000312,51072,SJB293064052,세종충남대병원,36.5187208,127.2561613
16,B5,SJB293000312,52066,SJB293064447,세종충남대학교병원(후문),36.520501,127.259685
17,B5,SJB293000312,31052,SJB293014015,해밀리,36.5285405,127.2639687
18,B5,SJB293000312,31054,SJB293014025,한별리,36.53377,127.27527
19,B5,SJB293000312,31073,SJB293064420,누리리,36.533978,127.29214
20,B5,SJB293000312,57027,SJB293064416,산학연클러스터,36.501718,127.328826
21,B5,SJB293000312,57029,SJB293064418,집현리,36.498135,127.322785
22,B5,SJB293000312,57023,SJB293064257,반곡동(수루배마을),36.497739,127.312279
23,B5,SJB293000312,57025,SJB293064261,국책연구단지,36.492195,127.304331
24,B5,SJB293000312,57020,SJB293064254,"법원.검찰청,경찰청",36.486842,127.301429
25,B5,SJB293000312,51115,SJB293064214,소담동 새샘마을,36.4824576,127.2972683
26,B5,SJB293000312,51112,SJB293064211,세종시청.교육청.시의회,36.478674,127.288769
27,B5,SJB293000312,51110,SJB293064209,보람동.대평동,36.4756055,127.2816359
28,B5,SJB293000312,57017,SJB293064251,대평동,36.472267,127.276406
29,B5,SJB293000312,51011,SJB293055001,세종고속시외버스터미널(지상),36.469265,127.2738136
1,1004,SJB293000178,60005,SJB186004230,반석역,36.39142,127.31514
2,1004,SJB293000178,51052,SJB293055058,세종고속시외버스터미널,36.4689905,127.2735878
3,1004,SJB293000178,51038,SJB293064010,첫마을3단지,36.47821,127.26117
4,1004,SJB293000178,51046,SJB293064007,한솔중학교(첫마을7단지),36.47538,127.25558
5,1004,SJB293000178,51044,SJB293064005,첫마을6단지,36.47542,127.25308
6,1004,SJB293000178,51043,SJB293064002,첫마을5단지,36.4777,127.25004
7,1004,SJB293000178,51041,SJB293064004,첫마을4단지,36.47998,127.25203
8,1004,SJB293000178,51129,SJB293064241,"새뜸마을5,8단지",36.4825015,127.2535174
9,1004,SJB293000178,51127,SJB293064239,새롬동커뮤니티센터,36.4858496,127.2508553
10,1004,SJB293000178,51136,SJB293064430,"새뜸마을7,10단지",36.48844,127.250695
11,1004,SJB293000178,51125,SJB293064237,"가온마을4,7단지",36.4912295,127.2498109
12,1004,SJB293000178,61022,SJB293064263,다정동커뮤니티센터,36.495506,127.249035
13,1004,SJB293000178,61028,SJB293064307,"가온마을6,9단지",36.4986116,127.2491786
14,1004,SJB293000178,53034,SJB293064138,"가재마을5,8단지",36.5004747,127.2498627
15,1004,SJB293000178,53043,SJB293064151,가재마을11단지,36.5043789,127.2501706
16,1004,SJB293000178,52043,SJB293061004,범지기마을4단지,36.5083875,127.2499679
17,1004,SJB293000178,51074,SJB293064054,"범지기마을8,12단지",36.5125038,127.2504125
18,1004,SJB293000178,51075,SJB293064055,아름초등학교,36.5153587,127.2511516
19,1004,SJB293000178,51076,SJB293064056,범지기마을10단지,36.5185438,127.2524761
20,1004,SJB293000178,53014,SJB293064102,범지기마을10단지북측,36.5190968,127.2483697
21,1004,SJB293000178,53012,SJB293064100,"범지기마을3,9단지",36.5190031,127.2445558
22,1004,SJB293000178,53010,SJB293064098,가락마을22단지,36.5201811,127.2411119
23,1004,SJB293000178,53037,SJB293064141,고운동커뮤니티센터북측,36.5202479,127.2366049
24,1004,SJB293000178,53021,SJB293064113,"가락마을17,18단지",36.5198521,127.2349532
25,1004,SJB293000178,53023,SJB293064115,두루고등학교,36.5173734,127.2311308
26,1004,SJB293000178,53025,SJB293064117,"가락마을10,13단지",36.5134794,127.2293797
27,1004,SJB293000178,53028,SJB293064120,"가락마을9,11단지",36.5105636,127.2296299
28,1004,SJB293000178,53030,SJB293064122,으뜸초등학교,36.5070383,127.231468
29,1004,SJB293000178,53032,SJB293064124,고운동커뮤니티센터남측,36.5043276,127.2347772
30,1004,SJB293000178,53053,SJB293064413,고운동(만남로),36.500435,127.235985
31,1004,SJB293000178,35072,SJB293064012,봉안리(다름고개),36.4992393,127.2290775
32,1004,SJB293000178,35015,SJB293017059,봉안리,36.49892,127.22398
33,1004,SJB293000178,35092,SJB293010007,봉안리,36.49935893,127.2190046
34,1004,SJB293000178,35018,SJB293017049,봉안리(부일가든),36.50061,127.21556
35,1004,SJB293000178,35012,SJB293017043,대교리,36.50109,127.21121
36,1004,SJB293000178,35082,SJB293064173,장군면복지회관,36.4991636,127.2080709
37,1004,SJB293000178,35046,SJB293017024,장군면사무소,36.49714,127.20531
38,1004,SJB293000178,35102,SJB293064428,장기중학교후문,36.495592,127.203518
1,1004,SJB293000179,35103,SJB293064429,장기중학교후문,36.495617,127.203627
2,1004,SJB293000179,35047,SJB293017023,장군면사무소,36.49684,127.20511
3,1004,SJB293000179,35083,SJB293064174,장군면복지회관,36.4990494,127.2081953
4,1004,SJB293000179,35011,SJB293017039,대교리,36.50069,127.21053
5,1004,SJB293000179,35017,SJB293017054,봉안리(부일가든),36.50016,127.21592
6,1004,SJB293000179,35093,SJB293010008,봉안리,36.49926399,127.2190617
7,1004,SJB293000179,35064,SJB293017064,봉안리,36.4990546,127.2213088
8,1004,SJB293000179,35016,SJB293011001,봉안리(다름고개),36.4990185,127.2291006
9,1004,SJB293000179,53052,SJB293064412,고운동(만남로),36.501134,127.236316
10,1004,SJB293000179,53031,SJB293064123,고운동커뮤니티센터남측,36.5042791,127.2352687
11,1004,SJB293000179,53029,SJB293064121,으뜸초등학교,36.5071605,127.2317021
12,1004,SJB293000179,53027,SJB293064119,"가락마을9,11단지",36.5106813,127.229892
13,1004,SJB293000179,53026,SJB293064118,"가락마을10,13단지",36.513498,127.2296588
14,1004,SJB293000179,53024,SJB293064116,두루고등학교,36.5172342,127.2313602
15,1004,SJB293000179,53022,SJB293064114,"가락마을17,18단지",36.5195996,127.2349373
16,1004,SJB293000179,53036,SJB293064140,고운동커뮤니티센터북측,36.5200092,127.2366895
17,1004,SJB293000179,53009,SJB293064097,가락마을22단지,36.5200447,127.2405762
18,1004,SJB293000179,53011,SJB293064099,"범지기마을3,9단지",36.518782,127.2444672
19,1004,SJB293000179,53013,SJB293064101,범지기마을10단지북측,36.5189898,127.2489006
20,1004,SJB293000179,52020,SJB293061007,범지기마을10단지,36.51879,127.25226
21,1004,SJB293000179,52025,SJB293061006,아름초등학교,36.5147,127.25062
22,1004,SJB293000179,52047,SJB293061005,"범지기마을6,11단지",36.51045,127.2498
23,1004,SJB293000179,51057,SJB293056035,"가재마을7,12단지",36.50648333,127.2496233
24,1004,SJB293000179,53035,SJB293064139,"가재마을5,8단지",36.5009207,127.2497831
25,1004,SJB293000179,61021,SJB293064262,"가온마을6,9단지",36.498607,127.24896
26,1004,SJB293000179,61023,SJB293064264,다정동커뮤니티센터,36.494341,127.248799
27,1004,SJB293000179,61046,SJB293064370,"가온마을4,7단지",36.4915533,127.2494805
28,1004,SJB293000179,51126,SJB293064238,"새뜸마을7,10단지",36.4898819,127.2499045
29,1004,SJB293000179,51128,SJB293064240,새롬동커뮤니티센터,36.4851331,127.2509413
30,1004,SJB293000179,51130,SJB293064242,"새뜸마을5,8단지",36.4823928,127.2532777
31,1004,SJB293000179,51040,SJB293064003,첫마을4단지,36.48019,127.2516
32,1004,SJB293000179,51042,SJB293064001,첫마을5단지,36.47762,127.24973
33,1004,SJB293000179,51045,SJB293064006,첫마을6단지,36.47503,127.25326
34,1004,SJB293000179,51047,SJB293064008,한솔중학교(첫마을7단지),36.47491,127.2557
35,1004,SJB293000179,51039,SJB293064011,첫마을3단지,36.478,127.26135
36,1004,SJB293000179,51053,SJB293055059,세종고속시외버스터미널,36.46881,127.2735046
37,1004,SJB293000179,60006,SJB186004229,반석역,36.39155,127.31487
1,1005,SJB293000282,60005,SJB186004230,반석역,36.39142,127.31514
2,1005,SJB293000282,51052,SJB293055058,세종고속시외버스터미널,36.4689905,127.2735878
3,1005,SJB293000282,51037,SJB293053010,한솔동(첫마을),36.4812897,127.2618716
4,1005,SJB293000282,51034,SJB293053007,첫마을1단지,36.48385,127.2592
5,1005,SJB293000282,61039,SJB293064358,새롬중학교(새뜸마을1단지),36.4804553,127.249332
6,1005,SJB293000282,61054,SJB293064388,"새뜸마을1,2단지",36.4828783,127.2461704
7,1005,SJB293000282,61033,SJB293064312,"가득초등학교(새뜸마을3,4단지)",36.4854282,127.2455481
8,1005,SJB293000282,61040,SJB293064360,새뜸마을4단지(가온마을1단지),36.4894565,127.2448371
9,1005,SJB293000282,51125,SJB293064237,"가온마을4,7단지",36.4912295,127.2498109
10,1005,SJB293000282,61022,SJB293064263,다정동커뮤니티센터,36.495506,127.249035
11,1005,SJB293000282,61028,SJB293064307,"가온마을6,9단지",36.4986116,127.2491786
12,1005,SJB293000282,53039,SJB293064144,다빛초등학교(가재마을1단지),36.4997313,127.2424127
13,1005,SJB293000282,58011,SJB293064352,가락마을6단지,36.502547,127.238868
14,1005,SJB293000282,53031,SJB293064123,고운동커뮤니티센터남측,36.5042791,127.2352687
15,1005,SJB293000282,53027,SJB293064119,"가락마을9,11단지",36.5106813,127.229892
16,1005,SJB293000282,53026,SJB293064118,"가락마을10,13단지",36.513498,127.2296588
17,1005,SJB293000282,53022,SJB293064114,"가락마을17,18단지",36.5195996,127.2349373
18,1005,SJB293000282,53009,SJB293064097,가락마을22단지,36.5200447,127.2405762
19,1005,SJB293000282,52027,SJB293052002,은하수공원,36.532563,127.243964
1,1005,SJB293000283,52028,SJB293052001,은하수공원,36.53181,127.244421
2,1005,SJB293000283,53010,SJB293064098,가락마을22단지,36.5201811,127.2411119
3,1005,SJB293000283,53021,SJB293064113,"가락마을17,18단지",36.5198521,127.2349532
4,1005,SJB293000283,53025,SJB293064117,"가락마을10,13단지",36.5134794,127.2293797
5,1005,SJB293000283,53028,SJB293064120,"가락마을9,11단지",36.5105636,127.2296299
6,1005,SJB293000283,53032,SJB293064124,고운동커뮤니티센터남측,36.5043276,127.2347772
7,1005,SJB293000283,58012,SJB293064354,가락마을6단지,36.5024695,127.2384071
8,1005,SJB293000283,51099,SJB293064145,다빛초등학교(가온마을3단지),36.4995152,127.2425474
9,1005,SJB293000283,61021,SJB293064262,"가온마을6,9단지",36.498607,127.24896
10,1005,SJB293000283,61023,SJB293064264,다정동커뮤니티센터,36.494341,127.248799
11,1005,SJB293000283,61046,SJB293064370,"가온마을4,7단지",36.4915533,127.2494805
12,1005,SJB293000283,61041,SJB293064361,새뜸마을4단지(가온마을1단지),36.4895961,127.2447697
13,1005,SJB293000283,61034,SJB293064313,"가득초등학교(새뜸마을3,4단지)",36.4853374,127.2452246
14,1005,SJB293000283,61055,SJB293064389,"새뜸마을1,2단지",36.4828552,127.2459137
15,1005,SJB293000283,51131,SJB293064359,새롬중학교(새뜸마을1단지),36.4802617,127.2494164
16,1005,SJB293000283,51035,SJB293064009,첫마을1단지,36.48334,127.25863
17,1005,SJB293000283,51036,SJB293053008,한솔동(첫마을),36.4811358,127.2615539
18,1005,SJB293000283,51053,SJB293055059,세종고속시외버스터미널,36.46881,127.2735046
19,1005,SJB293000283,60006,SJB186004229,반석역,36.39155,127.31487
1,201,SJB293000274,59028,SJB293064393,보건복지부 고용노동부,36.5024356,127.2609046
2,201,SJB293000274,52034,SJB293062012,정부세종청사북측,36.5048938,127.2616877
3,201,SJB293000274,52040,SJB293056005,인사혁신처,36.5091666,127.2615149
4,201,SJB293000274,52053,SJB293064110,"도램마을8,10단지",36.5119177,127.2600021
5,201,SJB293000274,52007,SJB293056004,도담동(도램마을),36.514017,127.2593948
6,201,SJB293000274,51071,SJB293064051,세종충남대병원,36.5186505,127.2570215
7,201,SJB293000274,53014,SJB293064102,범지기마을10단지북측,36.5190968,127.2483697
8,201,SJB293000274,53012,SJB293064100,"범지기마을3,9단지",36.5190031,127.2445558
9,201,SJB293000274,53010,SJB293064098,가락마을22단지,36.5201811,127.2411119
10,201,SJB293000274,53037,SJB293064141,고운동커뮤니티센터북측,36.5202479,127.2366049
11,201,SJB293000274,53021,SJB293064113,"가락마을17,18단지",36.5198521,127.2349532
12,201,SJB293000274,53023,SJB293064115,두루고등학교,36.5173734,127.2311308
13,201,SJB293000274,53025,SJB293064117,"가락마을10,13단지",36.5134794,127.2293797
14,201,SJB293000274,53028,SJB293064120,"가락마을9,11단지",36.5105636,127.2296299
15,201,SJB293000274,53030,SJB293064122,으뜸초등학교,36.5070383,127.231468
16,201,SJB293000274,53032,SJB293064124,고운동커뮤니티센터남측,36.5043276,127.2347772
17,201,SJB293000274,58012,SJB293064354,가락마을6단지,36.5024695,127.2384071
18,201,SJB293000274,51065,SJB293064030,"종촌초등학교(가재마을1,2단지)",36.5018836,127.2425854
19,201,SJB293000274,51066,SJB293064031,종촌종합복지센터,36.5019154,127.246929
20,201,SJB293000274,53035,SJB293064139,"가재마을5,8단지",36.5009207,127.2497831
21,201,SJB293000274,52019,SJB293062002,어진중학교(가재마을9단지),36.4986553,127.2550362
22,201,SJB293000274,52016,SJB293062009,과기정통부(중기부),36.49753,127.26038
23,201,SJB293000274,52013,SJB293062017,문화체육관광부,36.49815,127.2644
24,201,SJB293000274,59028,SJB293064393,보건복지부 고용노동부,36.5024356,127.2609046
1,201,SJB293000275,52015,SJB293062010,과기정통부(중기부),36.49776,127.2605
2,201,SJB293000275,52017,SJB293062003,어진중학교(가재마을9단지),36.4989327,127.2549113
3,201,SJB293000275,53034,SJB293064138,"가재마을5,8단지",36.5004747,127.2498627
4,201,SJB293000275,51061,SJB293064026,종촌종합복지센터,36.5022184,127.2474138
5,201,SJB293000275,51062,SJB293064027,"종촌초등학교(가재마을1,2단지)",36.5020819,127.2425959
6,201,SJB293000275,58011,SJB293064352,가락마을6단지,36.502547,127.238868
7,201,SJB293000275,53031,SJB293064123,고운동커뮤니티센터남측,36.5042791,127.2352687
8,201,SJB293000275,53029,SJB293064121,으뜸초등학교,36.5071605,127.2317021
9,201,SJB293000275,53027,SJB293064119,"가락마을9,11단지",36.5106813,127.229892
10,201,SJB293000275,53026,SJB293064118,"가락마을10,13단지",36.513498,127.2296588
11,201,SJB293000275,53024,SJB293064116,두루고등학교,36.5172342,127.2313602
12,201,SJB293000275,53022,SJB293064114,"가락마을17,18단지",36.5195996,127.2349373
13,201,SJB293000275,53036,SJB293064140,고운동커뮤니티센터북측,36.5200092,127.2366895
14,201,SJB293000275,53009,SJB293064097,가락마을22단지,36.5200447,127.2405762
